userName,content,at
Thasa Indira,Udh lebih dari 10x lebih x gua download dan uninstalled ga bisa jga login. Cape bed. Apa perlu pake iphone biar lancar. Hey tingkatkan lgi x penilaian nya rendah semua. Ga ada kemajuan2 atas komplainnya.,2023-01-15 09:48:00
Valen tina,"Selalu error ga jelas, ujung ujung ga ke pakai saldo di apps. Mengecewakan",2023-01-15 09:14:58
Lidia Astuti,Ini store nya apakah di Jakarta aja ko di Bandung ga ada ya pilihan di aplikasi,2023-01-13 11:15:26
Fajar Kurniawansaputra,Berkali-kali reset Pasword selalu ditolak dan gagal,2023-01-13 02:43:29
Rita,"untuk promo e-voucher diperbanyak, dn kalau bisa buat fitur dimana sisa saldo bisa kita tarik, seperti apk D*na/Ov* dll serta bebas topup tanpa minimal nominal berapa pun itu akan sangat bagus,",2023-01-12 09:50:08
Sisca Andriani,"JANGAN PAKE APLIKASI INI SAYA DAFTAR SMPE KIAMAT GA PERNAH BISA, UDAH INI APLIKASI BEJAT BANGSATT ANJINGGGGGG",2023-01-11 11:47:41
Restu AlFauzan,Starbucks Alauddin Makassar kurang memuaskan pelayanannya..kita sebagai kastemer di anggap bukan pembelinya...sampai sampai strum buat cas hp d lepas sampai aliran listrikx d matikan.namanya saja resto besar biar cas tidak boleh,2023-01-11 09:01:44
Lia -,sering mengalami error dan lambat kalau dibuka. harus hapus cache dulu.,2023-01-10 07:12:23
Wanda Eka,Kapok sama barista di starbucks benhil. Sangat tidak ramah. Parah bgt pelayanannya,2023-01-10 05:11:25
Ignatius Ivan Lumen,Sangat Baik,2023-01-09 12:41:58
Rachmat Faharuddin,"Aduhh kalau belum siap jgn di release dulu, sudah pake 2 nomor dan 2 email msh gak bisa log in... ITx payaahhhh sekelas starbucks... trm ksh sudah di respon.. move five stars",2023-01-07 13:25:15
Nayla Salwa,otp nya lama banget. waktu nya udah abis 5 menit kemudian baru muncul notif nya gimana si ini,2023-01-03 21:39:40
Asdar Asdar,Sy tidak bisa loging sy pake hp oppo f11 ga bisa sign in,2023-01-03 18:17:48
Syaiful Karim,Mantaaapppp,2023-01-03 11:21:50
Surya Sulistiawati,Pakai 2 email 2 nomer hp..tetap invalid....bener2 gak worth it....tolong di upgrade dong aplikasinya 🥲,2023-01-02 17:30:41
Zaiyatul Akmar,"Mau login kembali gak bisa, justru di tulis password dan username invalid padahal udh daftar",2023-01-02 15:02:55
Lilip c,"Selemot ini, buat gunain aplikasinya 😔.",2023-01-02 08:25:44
